2021년 8월 1일,1646940,1418700,2038790,1622220,2054890
2021년 8월 2일,1599000,1418450,2038500,1606040,2302100
2021년 8월 3일,1589940,1435520,2249820,1605980,2599000
2021년 8월 4일,1696580,2249580,1435330,1605690,2999000
2021년 8월 5일,1547000,2231880,1436030,1622271,2999000
2021년 8월 6일,1545300,2249330,1435970,2999000,2142850
2021년 8월 7일,1660480,2231350,1435730,2999000,2500000
2021년 8월 8일,1660240,2231110,1435500,2999000,2500000
2021년 8월 9일,1655210,2230990,1435530,2999000,2500000
2021년 8월 10일,1590000,1398390,2250000,2084830,2999000
2021년 8월 12일,1649750,2250000,1487180,2349990,1499000
2021년 8월 12일,1649750,2250000,1487180,2349990,1499000
2021년 8월 13일,1599000,2500000,1487180,2349930,1499000
2021년 8월 14일,1592440,2537750,1487180,1599000,2799000
2021년 8월 15일,1591820,2537450,1487180,1599000,2799000
2021년 8월 16일,1591670,2537970,1487180,1599000,2799000
2021년 8월 17일,1605000,2537790,1582470,1624100,2799000
2021년 8월 18일,1678840,1635000,2537560,1629830,2799000
2021년 8월 19일,1755880,2719700,1669190,2799000,1629590
2021년 8월 20일,1749990,2719510,1684050,2537400,2799000
2021년 8월 21일,1749700,2719210,1684050,2537100,2799000
2021년 8월 22일,1749580,2719150,2537030,2799000,1749950
2021년 8월 23일,1758560,2774990,2536670,2799000,1749950
2021년 8월 24일,1849990,2774810,2700000,1645700,2012450
2021년 8월 25일,1730000,2774990,2667830,1676500,1937710
2021년 8월 26일,1872500,1707200,2699000,2537450,2799000
2021년 8월 27일,1872500,1768700,2699000,2699000,1844950
2021년 8월 28일,1872500,1768700,2699000,1844950,2799000
2021년 8월 29일,1872500,1768700,2699000,1844950,1644000
2021년 8월 30일,1898950,1768700,2699000,1698500,1844950
2021년 8월 31일,1864350,3646450,2699000,1680000,1844950
2021년 9월 1일,1889890,3646450,2699000,1675000,1844950
2021년 9월 2일,1889700,3646450,1750000,2698950,1844950
2021년 9월 3일,1881090,1799990,3646450,2712500,2087000
2021년 9월 4일,1881120,1849950,4000000,3646450,2851550
2021년 9월 5일,1881120,1890750,4000000,3646450,3120000
2021년 9월 6일,1881120,1890750,4000000,3646450,4000000
2021년 9월 7일,2000000,1975960,4000000,2087000,3646450
2021년 9월 8일,1960000,4000000,1915150,1882614,2024000
2021년 9월 9일,1908000,4000000,1810000,2624950,3500000
2021년 9월 10일,1908000,4000000,1979000,1942660,3999990
2021년 9월 11일,1908000,3720000,1942660,1994500,3999880
2021년 9월 12일,1908000,3720000,1942660,1994320,3120000
2021년 9월 13일,1908000,4000000,1802000,3120000,2199990
2021년 9월 14일,1961000,4000000,2121400,1823200,2090000
2021년 9월 15일,1960000,1823200,3000000,4000000,1974640
2021년 9월 16일,1960000,1850000,3000000,4000000,1974700
2021년 9월 20일,1960000,1850000,1900000,4000000,2344400
2021년 9월 22일,1850000,1960000,1900000,4000000,2344400
